KEY,NAME,SEMESTER,CREDITS,PREREQS,GRADES,SITUATION,,,,,,,,,,
MAT1001,FUNDAMENTOS DE MATEMATICAS PARA INGENIERIA,1,6,,,,,,,,,,,,,
ICI1243,INTRODUCCION A LA INGENIERIA INFORMATICA,1,4,,,,,,,,,,,,,
ICI1241,FUNDAMENTOS DE ALGORITMOS,1,4,ICI1241,,,,,,,,,,,,
ICI1458,BIENESTAR Y APRENDIZAJE UNIVERSITARIO,1,2,,,,,,,,,,,,,
MAT1002,CALCULO DIFERENCIAL E INTEGRAL,2,6,MAT1001,,,,,,,,,,,,
ICI1242,FUNDAMENTOS DE PROGRAMACION,2,4,,,,,,,,,,,,,
FIN100-14,DESARROLLO INTEGRAL Y COMUNICACION PARA INGENIERIA,2,3,,,,,,,,,,,,,
FOFU1,FORMACION FUNDAMENTAL 1,2,2,,,,,,,,,,,,,
MAT1004,ALGEBRA LINEAL,2,4,MAT1001,,,,,,,,,,,,
FOFU2,FORMACION FUNDAMENTAL 2,3,2,,,,,,,,,,,,,
FIS1002,FISICA PARA INGENIERIA,3,5,MAT1001,,,,,,,,,,,,
MAT1003,CALCULO EN VARIAS VARIABLES,3,4,MAT1002,,,,,,,,,,,,
ICI2240,ESTRUCTURA DE DATOS,3,4,ICI1242,,,,,,,,,,,,
ICR010,ANTROPOLOGIA CRISTIANA,3,2,,,,,,,,,,,,,
ICI2145,ANALISIS INTELIGENTE DE DATOS,3,4,MAT1002,,,,,,,,,,,,
ING9001,INGLES 1,4,2,,,,,,,,,,,,,
FIS2120,FISICA ELECTROMAGNETISMO,4,3,FIS1002,,,,,,,,,,,,
ICI2141,METODOS NUMERICOS,4,3,ICI1242,,,,,,,,,,,,
ICR020,ETICA CRISTIANA,4,2,,,,,,,,,,,,,
ICI2242,ANALISIS Y DISENO DE ALGORITMOS,4,4,,,,,,,,,,,,,
ICI2241,PROGRAMACION AVANZADA,4,4,ICI2240,,,,,,,,,,,,
ING9002,INGLES 2,5,2,ING9001,,,,,,,,,,,,
FIS3149,FISICA MODERNA,5,3,FIS1002,,,,,,,,,,,,
ICI3240,BASE DE DATOS,5,4,ICI1242,,,,,,,,,,,,
ICI3245,AUTOMATAS Y COMPILADORES,5,3,ICI2241,,,,,,,,,,,,
ICI3244,INTELIGENCIA ARTIFICIAL,5,4,ICI2242,,,,,,,,,,,,
ICI3344,HARDWARE Y SISTEMAS OPERATIVOS,5,4,ICI1242,,,,,,,,,,,,
ICI3170,ESTADISTICA COMPUTACIONAL,6,4,MAT1003,,,,,,,,,,,,
ING9003,INGLES 3,6,3,ING9002,,,,,,,,,,,,
ICA4121,ADMINISTRACION DE EMPRESAS,6,3,,,,,,,,,,,,,
ICI3150,CIENCIA Y TECNOLOGIA,6,3,,,,,,,,,,,,,
ICI3246,MODELAMIENTO DE SOFTWARE,6,4,ICI3240,,,,,,,,,,,,
ICI3343,REDES DE COMPUTADORES,6,4,ICI3245,,,,,,,,,,,,
ICI4244,INGENIERIA DE SOFTWARE,7,4,,,,,,,,,,,,,
ING9004,INGLES 4,7,2,ING9003,,,,,,,,,,,,
ICI4150,ROBOTICA Y SISTEMAS AUTONOMOS,7,3,ICI3343,,,,,,,,,,,,
ICI4344,COMPUTACION PARALELA Y DISTRIBUIDA,7,4,ICI3343,,,,,,,,,,,,
ICI4247,INGENIERIA WEB Y MOVIL,7,4,ICI3246,,,,,,,,,,,,
ICI4151,OPTIMIZACION,7,4,,,,,,,,,,,,,
ICA4161,ECONOMIA Y FINANZAS,8,3,ICA4121,,,,,,,,,,,,
ICI4248,INGENIERIA DE REQUERIMIENTOS,8,4,ICI4247,,,,,,,,,,,,
ICI4541,TALLER DE BASE DE DATOS,8,4,ICI3240,,,,,,,,,,,,
ICI4370,CIBERSEGURIDAD,8,4,ICI3343,,,,,,,,,,,,
FOFU3,FORMACION FUNDAMENTAL 3,8,2,,,,,,,,,,,,,
OPPT1,OPTATIVO 1,8,4,,,,,,,,,,,,,
ICI5247,EXPERIENCIA DEL USUARIO,9,3,ICI4248,,,,,,,,,,,,
ICI5441,ADMINISTRACION DE PROYECTOS INFORMATICOS,9,3,,,,,,,,,,,,,
ICI5442,TECNOLOGIAS EMERGENTES,9,4,,,,,,,,,,,,,
ICI5545,TALLER INGENIERIA DE SOFTWARE,9,4,ICI4244,,,,,,,,,,,,
ICI5475,NEGOCIOS, INNOVACION Y EMPRENDIMIENTO,9,,,,,,,,,,,,,
OPT2,OPTATIVO 2,9,4,,,,,,,,,,,,,
ICI5444,TALLER DE FORMULACION DE PROYECTOS INFORMATICOS,10,4,ICI5441,,,,,,,,,,,,
ICI5345,LEGISLACION, ETICA Y TECNOLOGICA,10,,,,,,,,,,,,,
ICI5541,SEMINARIO DE TITULO,10,5,,,,,,,,,,,,,
ICI5476,TALLER DE LIDERAZGO Y TRABAJO EN EQUIPO,10,4,,,,,,,,,,,,,
OPT3,OPTATIVO 3,10,5,ICA4161,ICI4248,ICI4541,ICI4370,ICI5441,ICI5545,ICI5442,ICI5247,ICI5475,ICI4151,ICI3170,ICI3344,ICI3244
ICI6541,PROYECTO DE TITULO,11,12,ICI5541,,,,,,,,,,,,
OPT4,OPTATIVO 4,11,4,,,,,,,,,,,,,
